onset	duration	nwb_table	label
1.0	36.0	states	Non-REM
38.0	37.0	states	Awake
76.0	199.0	states	Non-REM
276.0	7.0	states	REM
284.0	228.0	states	Awake
513.0	8.0	states	Non-REM
522.0	84.0	states	Awake
607.0	10.0	states	Non-REM
618.0	247.0	states	Awake
866.0	15.0	states	Non-REM
882.0	316.0	states	Awake
1199.0	650.0	states	Non-REM
1850.0	93.0	states	REM
1944.0	18.0	states	Awake
1963.0	136.0	states	Non-REM
2100.0	13.0	states	Awake
2114.0	398.0	states	Non-REM
2513.0	22.0	states	REM
2536.0	14.0	states	Awake
2551.0	256.0	states	Non-REM
2808.0	69.0	states	REM
2878.0	8.0	states	Awake
2887.0	49.0	states	Non-REM
2937.0	11.0	states	Awake
2949.0	174.0	states	Non-REM
3124.0	9.0	states	Awake
3134.0	259.0	states	Non-REM
3394.0	9.0	states	REM
3404.0	7.0	states	Non-REM
3412.0	17.0	states	Awake
3430.0	119.0	states	Non-REM
3550.0	7.0	states	Awake
3558.0	139.0	states	Non-REM
3698.0	23.0	states	REM
3722.0	64.0	states	Non-REM
3787.0	8.0	states	Awake
3796.0	330.0	states	Non-REM
4127.0	23.0	states	Awake
4151.0	136.0	states	Non-REM
4288.0	11.0	states	Awake
4300.0	288.0	states	Non-REM
4589.0	38.0	states	REM
4628.0	11.0	states	Awake
4640.0	72.0	states	Non-REM
4713.0	9.0	states	REM
4723.0	27.0	states	Awake
4751.0	43.0	states	Non-REM
4795.0	8.0	states	Awake
4804.0	36.0	states	Non-REM
4841.0	7.0	states	Awake
4849.0	47.0	states	Non-REM
4897.0	7.0	states	Awake
4905.0	40.0	states	Non-REM
4946.0	25.0	states	REM
4972.0	64.0	states	Non-REM
5037.0	7.0	states	REM
5045.0	54.0	states	Non-REM
5100.0	125.0	states	REM
5226.0	19.0	states	Awake
5246.0	25.0	states	Non-REM
5272.0	1268.0	states	Awake
6541.0	10.0	states	Non-REM
6552.0	142.0	states	Awake
6695.0	26.0	states	Non-REM
6722.0	26.0	states	Awake
6749.0	218.0	states	Non-REM
6968.0	9.0	states	Awake
6978.0	328.0	states	Non-REM
7307.0	12.0	states	Awake
7320.0	142.0	states	Non-REM
7463.0	170.0	states	REM
7634.0	2687.0	states	Awake
10322.0	31.0	states	Non-REM
10354.0	332.0	states	Awake
10687.0	694.0	states	Non-REM
11382.0	7.0	states	Awake
11390.0	118.0	states	Non-REM
11509.0	20.0	states	Awake
11530.0	362.0	states	Non-REM
11893.0	17.0	states	Awake
11911.0	149.0	states	Non-REM
12061.0	171.0	states	REM
12233.0	20.0	states	Awake
12254.0	334.0	states	Non-REM
12589.0	8.0	states	Awake
12598.0	165.0	states	Non-REM
12764.0	8.0	states	Awake
12773.0	255.0	states	Non-REM
13029.0	29.0	states	REM
13059.0	11.0	states	Awake
13071.0	148.0	states	Non-REM
13220.0	86.0	states	REM
13307.0	13.0	states	Awake
13321.0	51.0	states	Non-REM
13373.0	7.0	states	Awake
13381.0	357.0	states	Non-REM
13739.0	7.0	states	REM
13747.0	34.0	states	Awake
13782.0	57.0	states	Non-REM
13840.0	15.0	states	Awake
13856.0	78.0	states	Non-REM
13935.0	18.0	states	REM
13954.0	19.0	states	Awake
13974.0	231.0	states	Non-REM
14206.0	7.0	states	Awake
14214.0	74.0	states	Non-REM
14289.0	17.0	states	Awake
14307.0	82.0	states	Non-REM
14390.0	39.0	states	REM
14430.0	146.0	states	Awake
14577.0	303.0	states	Non-REM
14881.0	11.0	states	Awake
14893.0	39.0	states	REM
14933.0	18.0	states	Awake
14952.0	267.0	states	Non-REM
15220.0	13.0	states	Awake
15234.0	103.0	states	Non-REM
15338.0	19.0	states	REM
15358.0	155.0	states	Non-REM
15514.0	184.0	states	Awake
15699.0	33.0	states	Non-REM
15733.0	2029.0	states	Awake
17763.0	343.0	states	Non-REM
18107.0	16.0	states	Awake
18124.0	100.0	states	Non-REM
18225.0	121.0	states	REM
18347.0	11.0	states	Awake
18359.0	477.0	states	Non-REM
18837.0	58.0	states	REM
18896.0	19.0	states	Awake
18916.0	309.0	states	Non-REM
19226.0	7.0	states	Awake
19234.0	124.0	states	Non-REM
19359.0	102.0	states	REM
19462.0	15.0	states	Awake
19478.0	296.0	states	Non-REM
19775.0	135.0	states	Awake
19911.0	24.0	states	Non-REM
19936.0	183.0	states	Awake
20120.0	261.0	states	Non-REM
20382.0	12.0	states	Awake
20395.0	288.0	states	Non-REM
20684.0	72.0	states	REM
20757.0	12.0	states	Awake
20770.0	382.0	states	Non-REM
21153.0	1362.0	states	Awake
