onset	duration	nwb_table	label
1.0	104.0	states	Awake
106.0	464.0	states	Non-REM
571.0	15.0	states	Awake
587.0	157.0	states	Non-REM
745.0	11.0	states	Awake
757.0	247.0	states	Non-REM
1005.0	46.0	states	REM
1052.0	185.0	states	Non-REM
1238.0	76.0	states	REM
1315.0	8.0	states	Awake
1324.0	68.0	states	Non-REM
1393.0	7.0	states	Awake
1401.0	392.0	states	Non-REM
1794.0	69.0	states	REM
1864.0	11.0	states	Awake
1876.0	398.0	states	Non-REM
2275.0	95.0	states	REM
2371.0	14.0	states	Awake
2386.0	417.0	states	Non-REM
2804.0	53.0	states	REM
2858.0	323.0	states	Non-REM
3182.0	88.0	states	REM
3271.0	11.0	states	Awake
3283.0	343.0	states	Non-REM
3627.0	34.0	states	REM
3662.0	192.0	states	Non-REM
3855.0	80.0	states	REM
3936.0	198.0	states	Awake
4135.0	474.0	states	Non-REM
4610.0	28.0	states	REM
4639.0	281.0	states	Non-REM
4921.0	23.0	states	REM
4945.0	108.0	states	Non-REM
5054.0	36.0	states	REM
5091.0	192.0	states	Non-REM
5284.0	96.0	states	REM
5381.0	24.0	states	Awake
5406.0	641.0	states	Non-REM
6048.0	121.0	states	REM
6170.0	8.0	states	Awake
6179.0	154.0	states	Non-REM
6334.0	69.0	states	Awake
6404.0	81.0	states	Non-REM
6486.0	10.0	states	Awake
6497.0	202.0	states	Non-REM
6700.0	12.0	states	Awake
6713.0	185.0	states	Non-REM
6899.0	906.0	states	Awake
7806.0	131.0	states	Non-REM
7938.0	3901.0	states	Awake
11840.0	699.0	states	Non-REM
12540.0	154.0	states	REM
12695.0	540.0	states	Non-REM
13236.0	13.0	states	REM
13250.0	12.0	states	Awake
13263.0	352.0	states	Non-REM
13616.0	11.0	states	REM
13628.0	64.0	states	Non-REM
13693.0	113.0	states	REM
13807.0	8.0	states	Awake
13816.0	796.0	states	Non-REM
14613.0	77.0	states	REM
14691.0	10.0	states	Awake
14702.0	504.0	states	Non-REM
15207.0	46.0	states	REM
15254.0	7.0	states	Awake
15262.0	263.0	states	Non-REM
15526.0	17.0	states	Awake
15544.0	195.0	states	Non-REM
15740.0	41.0	states	REM
15782.0	105.0	states	Non-REM
15888.0	10.0	states	Awake
15899.0	312.0	states	Non-REM
16212.0	182.0	states	REM
16395.0	129.0	states	Awake
16525.0	111.0	states	Non-REM
16637.0	2454.0	states	Awake
19092.0	327.0	states	Non-REM
19420.0	27.0	states	REM
19448.0	37.0	states	Awake
19486.0	416.0	states	Non-REM
19903.0	60.0	states	REM
19964.0	9.0	states	Awake
19974.0	95.0	states	Non-REM
20070.0	42.0	states	REM
20113.0	72.0	states	Non-REM
20186.0	58.0	states	REM
20245.0	287.0	states	Non-REM
20533.0	28.0	states	REM
20562.0	238.0	states	Non-REM
20801.0	11.0	states	Awake
20813.0	132.0	states	Non-REM
20946.0	15.0	states	REM
20962.0	16.0	states	Awake
20979.0	45.0	states	Non-REM
21025.0	150.0	states	REM
21176.0	18.0	states	Awake
21195.0	28.0	states	Non-REM
21224.0	13.0	states	Awake
21238.0	340.0	states	Non-REM
